ticker,isin,name,issuer,instrument_type,instrument_subtype,currency,catalog_url,instrument_url,is_active,capture_status,history_status,chart_status,error_reason,data_points,actual_start,actual_end,coverage_days,coverage_percent,insufficient_history,screenshot_path
PKKRe1,,PKKRe1,PKKRe1,bond,corporate,USD,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PKKRe1,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PRKRb1,,Продкорпорация,Продкорпорация,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PRKRb1,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PRKRb10,,Продкорпорация,Продкорпорация,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PRKRb10,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PRKRb11,,Продкорпорация,Продкорпорация,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PRKRb11,True,PENDING,PARTIAL,DATA_READY,,15,2025-10-07T19:00:00,2026-06-04T19:00:00,15,6.05,True,
PRKRb12,,Продкорпорация,Продкорпорация,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PRKRb12,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
PRKRb2,,Продкорпорация,Продкорпорация,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PRKRb2,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PRKRb3,,Продкорпорация,Продкорпорация,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PRKRb3,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PRKRb4,,Продкорпорация,Продкорпорация,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PRKRb4,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PRKRb5,,Продкорпорация,Продкорпорация,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PRKRb5,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PRKRb6,,Продкорпорация,Продкорпорация,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PRKRb6,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
PRKRb7,,Продкорпорация,Продкорпорация,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PRKRb7,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PRKRb8,,Продкорпорация,Продкорпорация,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PRKRb8,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PRKRb9,,Продкорпорация,Продкорпорация,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PRKRb9,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
PRKRe1,,Продкорпорация,Продкорпорация,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/PRKRe1,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
QGLDb1,,QARABULAQ GOLD,QARABULAQ GOLD,bond,corporate,USD,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/QGLDb1,True,PENDING,PARTIAL,DATA_READY,,10,2026-08-04T19:00:00,2026-08-25T19:00:00,10,4.03,True,
QSHDb1,,QS Holding,QS Holding,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/QSHDb1,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
RAAFpp1,,RAAF Construction,RAAF Construction,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/RAAFpp1,True,PENDING,UNAVAILABLE,NO_HISTORY,NO_PUBLIC_HISTORY,0,,,0,0.0,True,
REALb1,,REAL-INVEST,REAL-INVEST,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/REALb1,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
RENTb,,RENTb,RENTb,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/RENTb,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
RESCb1,,RESCb1,RESCb1,bond,corporate,KZT,https://kase.kz/api/instruments/securities/?sec_type=bond,https://kase.kz/ru/investors/bonds/RESCb1,False,UNAVAILABLE,UNAVAILABLE,NO_CHART,INSTRUMENT_DELISTED,0,,,0,0.0,True,
